pays,code_pays,annee,produit,code_produit,dispo_int,animal_food,semences,pertes,transfo,nourriture,other_uses
Jamaique,109,2013,Aliments pour enfants,2680,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
Jamaique,109,2013,Viande de Bovins,2731,11000000.0,0.0,0.0,0.0,0.0,11000000.0,0.0
Jamaique,109,2013,Viande d'Ovins/Caprins,2732,4000000.0,0.0,0.0,0.0,0.0,4000000.0,0.0
Jamaique,109,2013,Viande de Suides,2733,11000000.0,0.0,0.0,0.0,0.0,11000000.0,0.0
Jamaique,109,2013,Viande de Volailles,2734,146000000.0,0.0,0.0,0.0,0.0,146000000.0,0.0
Jamaique,109,2013,"Viande, Autre",2735,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Abats Comestible,2736,10000000.0,0.0,0.0,0.0,0.0,10000000.0,0.0
Jamaique,109,2013,Graisses Animales Crue,2737,9000000.0,0.0,0.0,0.0,0.0,8000000.0,1000000.0
Jamaique,109,2013,"Beurre, Ghee",2740,1000000.0,1000000.0,0.0,0.0,0.0,1000000.0,0.0
Jamaique,109,2013,Creme,2743,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Oeufs,2744,13000000.0,0.0,6000000.0,1000000.0,0.0,6000000.0,0.0
Jamaique,109,2013,Miel,2745,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Jamaique,109,2013,Poissons Eau Douce,2761,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
Jamaique,109,2013,Perciform,2762,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Poissons Pelagiques,2763,25000000.0,1000000.0,0.0,0.0,0.0,24000000.0,0.0
Jamaique,109,2013,"Poissons Marins, Autres",2764,35000000.0,0.0,0.0,0.0,0.0,35000000.0,0.0
Jamaique,109,2013,Crustaces,2765,2000000.0,0.0,0.0,0.0,0.0,2000000.0,0.0
Jamaique,109,2013,Cephalopodes,2766,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,"Mollusques, Autres",2767,4000000.0,0.0,0.0,0.0,0.0,4000000.0,0.0
Jamaique,109,2013,Animaux Aquatiques Autre,2769,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Plantes Aquatiques,2775,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Huiles de Poissons,2781,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Huiles de Foie de Poisso,2782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamaique,109,2013,Riz (Eq Blanchi),2805,78000000.0,2000000.0,0.0,1000000.0,10000000.0,65000000.0,0.0
Jamaique,109,2013,Lait - Excl Beurre,2848,255000000.0,0.0,0.0,1000000.0,0.0,254000000.0,1000000.0
Jamaique,109,2013,Miscellanees,2899,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japon,110,2013,Ble,2511,7282000000.0,1156000000.0,20000000.0,165000000.0,152000000.0,5727000000.0,62000000.0
Japon,110,2013,Orge,2513,1922000000.0,1075000000.0,4000000.0,115000000.0,659000000.0,69000000.0,0.0
Japon,110,2013,Mais,2514,14661000000.0,10964000000.0,0.0,3000000.0,2235000000.0,1171000000.0,288000000.0
Japon,110,2013,Seigle,2515,36000000.0,35000000.0,0.0,0.0,0.0,1000000.0,0.0
Japon,110,2013,Avoine,2516,-159000000.0,50000000.0,0.0,0.0,35000000.0,-246000000.0,1000000.0
Japon,110,2013,Millet,2517,10000000.0,2000000.0,0.0,0.0,0.0,8000000.0,0.0
Japon,110,2013,Sorgho,2518,1798000000.0,1798000000.0,0.0,0.0,0.0,0.0,0.0
Japon,110,2013,"Cereales, Autres",2520,87000000.0,1000000.0,2000000.0,0.0,0.0,84000000.0,0.0
Japon,110,2013,Pommes de Terre,2531,3154000000.0,3000000.0,149000000.0,204000000.0,98000000.0,2664000000.0,37000000.0
Japon,110,2013,Manioc,2532,637000000.0,0.0,0.0,0.0,626000000.0,11000000.0,0.0
Japon,110,2013,Patates douces,2533,985000000.0,3000000.0,14000000.0,7000000.0,47000000.0,884000000.0,29000000.0
Japon,110,2013,Racines nda,2534,272000000.0,14000000.0,21000000.0,14000000.0,0.0,224000000.0,0.0
Japon,110,2013,Ignames,2535,156000000.0,8000000.0,7000000.0,8000000.0,0.0,132000000.0,0.0
Japon,110,2013,"Sucre, canne",2536,1191000000.0,0.0,0.0,0.0,1191000000.0,0.0,0.0
Japon,110,2013,"Sucre, betterave",2537,3435000000.0,0.0,0.0,0.0,3435000000.0,0.0,0.0
Japon,110,2013,Sucre non centrifuge,2541,8000000.0,0.0,0.0,0.0,0.0,8000000.0,0.0
Japon,110,2013,Sucre Eq Brut,2542,2100000000.0,0.0,0.0,20000000.0,24000000.0,2056000000.0,0.0
Japon,110,2013,Edulcorants Autres,2543,1412000000.0,0.0,0.0,0.0,75000000.0,1337000000.0,0.0
Japon,110,2013,Haricots,2546,183000000.0,2000000.0,3000000.0,4000000.0,0.0,174000000.0,0.0
Japon,110,2013,Pois,2547,16000000.0,0.0,0.0,0.0,0.0,15000000.0,0.0
Japon,110,2013,Legumineuses Autres,2549,8000000.0,0.0,0.0,0.0,0.0,8000000.0,0.0
Japon,110,2013,Noix,2551,242000000.0,0.0,0.0,3000000.0,0.0,239000000.0,0.0
Japon,110,2013,Soja,2555,3009000000.0,104000000.0,6000000.0,55000000.0,1911000000.0,933000000.0,0.0
Japon,110,2013,Arachides Decortiquees,2556,93000000.0,1000000.0,0.0,0.0,1000000.0,90000000.0,0.0
Japon,110,2013,Graines de tournesol,2557,3000000.0,0.0,0.0,0.0,3000000.0,0.0,0.0
Japon,110,2013,Graines Colza/Moutarde,2558,2416000000.0,0.0,0.0,10000000.0,2396000000.0,11000000.0,0.0
Japon,110,2013,Graines de coton,2559,107000000.0,86000000.0,0.0,0.0,21000000.0,0.0,0.0
Japon,110,2013,Coco (Incl Coprah),2560,12000000.0,0.0,0.0,0.0,0.0,12000000.0,0.0
Japon,110,2013,Sesame,2561,141000000.0,0.0,0.0,1000000.0,94000000.0,46000000.0,0.0
Japon,110,2013,Palmistes,2562,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japon,110,2013,Olives,2563,4000000.0,0.0,0.0,0.0,0.0,4000000.0,0.0
Japon,110,2013,"Plantes Oleiferes, Autre",2570,7000000.0,0.0,0.0,0.0,5000000.0,1000000.0,1000000.0
Japon,110,2013,Huile de Soja,2571,427000000.0,0.0,0.0,3000000.0,0.0,412000000.0,12000000.0
Japon,110,2013,Huile d'Arachide,2572,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Japon,110,2013,Huile de Tournesol,2573,18000000.0,0.0,0.0,0.0,0.0,18000000.0,0.0
Japon,110,2013,Huile de Colza&Moutarde,2574,1063000000.0,0.0,0.0,0.0,0.0,1063000000.0,0.0
Japon,110,2013,Huile Graines de Coton,2575,8000000.0,0.0,0.0,0.0,0.0,7000000.0,1000000.0
Japon,110,2013,Huile de Palmistes,2576,94000000.0,0.0,0.0,0.0,0.0,80000000.0,14000000.0
Japon,110,2013,Huile de Palme,2577,657000000.0,0.0,0.0,4000000.0,0.0,110000000.0,543000000.0
Japon,110,2013,Huile de Coco,2578,42000000.0,0.0,0.0,0.0,0.0,35000000.0,7000000.0
Japon,110,2013,Huile de Sesame,2579,41000000.0,0.0,0.0,0.0,0.0,0.0,40000000.0
Japon,110,2013,Huile d'Olive,2580,54000000.0,0.0,0.0,0.0,0.0,51000000.0,3000000.0
Japon,110,2013,Huile de Son de Riz,2581,84000000.0,0.0,0.0,0.0,0.0,67000000.0,17000000.0
Japon,110,2013,Huile de Germe de Mais,2582,85000000.0,0.0,0.0,1000000.0,0.0,84000000.0,0.0
Japon,110,2013,Huil Plantes Oleif Autr,2586,86000000.0,0.0,0.0,0.0,0.0,11000000.0,75000000.0
Japon,110,2013,Tomates,2601,1385000000.0,0.0,0.0,106000000.0,0.0,1279000000.0,0.0
Japon,110,2013,Oignons,2602,1370000000.0,0.0,0.0,69000000.0,0.0,1301000000.0,0.0
Japon,110,2013,"Legumes, Autres",2605,11449000000.0,0.0,0.0,1023000000.0,0.0,10425000000.0,0.0
Japon,110,2013,"Oranges, Mandarines",2611,1690000000.0,0.0,0.0,161000000.0,0.0,1529000000.0,0.0
Japon,110,2013,Citrons & Limes,2612,65000000.0,0.0,0.0,9000000.0,0.0,56000000.0,0.0
Japon,110,2013,Pamplemousse,2613,282000000.0,0.0,0.0,19000000.0,0.0,263000000.0,0.0
Japon,110,2013,"Agrumes, Autres",2614,237000000.0,0.0,0.0,14000000.0,0.0,223000000.0,0.0
Japon,110,2013,Bananes,2615,975000000.0,0.0,0.0,166000000.0,0.0,809000000.0,0.0
Japon,110,2013,Bananes plantains,2616,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japon,110,2013,Pommes,2617,2187000000.0,0.0,0.0,74000000.0,56000000.0,2056000000.0,0.0
Japon,110,2013,Ananas,2618,250000000.0,0.0,0.0,19000000.0,0.0,231000000.0,0.0
Japon,110,2013,Dattes,2619,1000000.0,0.0,0.0,0.0,0.0,1000000.0,0.0
Japon,110,2013,Raisin,2620,410000000.0,0.0,0.0,36000000.0,114000000.0,260000000.0,0.0
Japon,110,2013,"Fruits, Autres",2625,1442000000.0,0.0,0.0,152000000.0,0.0,1290000000.0,0.0
Japon,110,2013,Cafe,2630,494000000.0,0.0,0.0,0.0,0.0,494000000.0,0.0
Japon,110,2013,Feve de Cacao,2633,168000000.0,0.0,0.0,0.0,0.0,168000000.0,0.0
Japon,110,2013,The,2635,121000000.0,0.0,0.0,0.0,0.0,121000000.0,0.0
Japon,110,2013,Poivre,2640,8000000.0,0.0,0.0,0.0,0.0,8000000.0,0.0
Japon,110,2013,Piments,2641,14000000.0,0.0,0.0,0.0,0.0,14000000.0,0.0
Japon,110,2013,Girofles,2642,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japon,110,2013,"Epices, Autres",2645,140000000.0,0.0,0.0,0.0,0.0,140000000.0,0.0
